subject_id,chain,n_reads,n_clones
subject1,beta,100,100
subject2,beta,100,100
subject3,beta,100,100
subject4,beta,100,100
subject5,beta,100,100
subject6,beta,100,100
subject7,beta,100,100
subject8,beta,100,100
subject9,beta,100,100
subject10,beta,100,100
subject11,beta,100,100
subject12,beta,100,100
subject13,beta,100,100
subject14,beta,100,100
subject15,beta,100,100
subject16,beta,100,100
subject17,beta,100,100
subject18,beta,100,100
subject19,beta,100,100
subject20,beta,100,100
subject21,beta,100,100
subject22,beta,100,100
subject23,beta,100,100
subject24,beta,100,100
subject25,beta,100,100
subject26,beta,100,100
subject27,beta,100,100
subject28,beta,100,100
subject29,beta,100,100
subject30,beta,100,100
subject31,beta,100,100
subject32,beta,100,100
subject33,beta,100,100
subject34,beta,100,100
subject35,beta,100,100
subject36,beta,100,100
subject37,beta,100,100
subject38,beta,100,100
subject39,beta,100,100
subject40,beta,100,100
subject41,beta,100,100
subject42,beta,100,100
subject43,beta,100,100
subject44,beta,100,100
subject45,beta,100,100
subject46,beta,100,100
subject47,beta,100,100
subject48,beta,100,100
subject49,beta,100,100
subject50,beta,100,100
subject51,beta,100,100
subject52,beta,100,100
subject53,beta,100,100
subject54,beta,100,100
subject55,beta,100,100
subject56,beta,100,100
subject57,beta,100,100
subject58,beta,100,100
subject59,beta,100,100
subject60,beta,100,100
subject61,beta,100,100
subject62,beta,100,100
subject63,beta,100,100
subject64,beta,100,100
subject65,beta,100,100
subject66,beta,100,100
subject67,beta,100,100
subject68,beta,100,100
subject69,beta,100,100
subject70,beta,100,100
subject71,beta,100,100
subject72,beta,100,100
subject73,beta,100,100
subject74,beta,100,100
subject75,beta,100,100
subject76,beta,100,100
subject77,beta,100,100
subject78,beta,100,100
subject79,beta,100,100
subject80,beta,100,100
subject81,beta,100,100
subject82,beta,100,100
subject83,beta,100,100
subject84,beta,100,100
subject85,beta,100,100
subject86,beta,100,100
subject87,beta,100,100
subject88,beta,100,100
subject89,beta,100,100
subject90,beta,100,100
subject91,beta,100,100
subject92,beta,100,100
subject93,beta,100,100
subject94,beta,100,100
subject95,beta,100,100
subject96,beta,100,100
subject97,beta,100,100
subject98,beta,100,100
subject99,beta,100,100
subject100,beta,100,100
subject101,beta,100,100
subject102,beta,100,100
subject103,beta,100,100
subject104,beta,100,100
subject105,beta,100,100
subject106,beta,100,100
subject107,beta,100,100
subject108,beta,100,100
subject109,beta,100,100
subject110,beta,100,100
subject111,beta,100,100
subject112,beta,100,100
subject113,beta,100,100
subject114,beta,100,100
subject115,beta,100,100
subject116,beta,100,100
subject117,beta,100,100
subject118,beta,100,100
subject119,beta,100,100
subject120,beta,100,100
subject121,beta,100,100
subject122,beta,100,100
subject123,beta,100,100
subject124,beta,100,100
subject125,beta,100,100
subject126,beta,100,100
subject127,beta,100,100
subject128,beta,100,100
subject129,beta,100,100
subject130,beta,100,100
subject131,beta,100,100
subject132,beta,100,100
subject133,beta,100,100
subject134,beta,100,100
subject135,beta,100,100
subject136,beta,100,100
subject137,beta,100,100
subject138,beta,100,100
subject139,beta,100,100
subject140,beta,100,100
subject141,beta,100,100
subject142,beta,100,100
subject143,beta,100,100
subject144,beta,100,100
subject145,beta,100,100
subject146,beta,100,100
subject147,beta,100,100
subject148,beta,100,100
subject149,beta,100,100
subject150,beta,100,100
subject151,beta,100,100
subject152,beta,100,100
subject153,beta,100,100
subject154,beta,100,100
subject155,beta,100,100
subject156,beta,100,100
subject157,beta,100,100
subject158,beta,100,100
subject159,beta,100,100
subject160,beta,100,100
subject161,beta,100,100
subject162,beta,100,100
subject163,beta,100,100
subject164,beta,100,100
subject165,beta,100,100
subject166,beta,100,100
subject167,beta,100,100
subject168,beta,100,100
subject169,beta,100,100
subject170,beta,100,100
subject171,beta,100,100
subject172,beta,100,100
subject173,beta,100,100
subject174,beta,100,100
subject175,beta,100,100
subject176,beta,100,100
subject177,beta,100,100
subject178,beta,100,100
subject179,beta,100,100
subject180,beta,100,100
subject181,beta,100,100
subject182,beta,100,100
subject183,beta,100,100
subject184,beta,100,100
subject185,beta,100,100
subject186,beta,100,100
subject187,beta,100,100
subject188,beta,100,100
subject189,beta,100,100
subject190,beta,100,100
subject191,beta,100,100
subject192,beta,100,100
subject193,beta,100,100
subject194,beta,100,100
subject195,beta,100,100
subject196,beta,100,100
subject197,beta,100,100
subject198,beta,100,100
subject199,beta,100,100
subject200,beta,100,100
